Company Name,Locations,Salary,Experience,Skills
WWF India,Chennai,"₹ 4,00,000 - 5,00,000 /year",0 year(s),Public SpeakingSalesMarketing
Duroflex Private Limited,Hosur,"₹ 4,00,000 - 5,00,000 /year",0 year(s),Planning
GlobalStep Services Private Limited,Pune,"₹ 4,00,000 - 5,00,000 /year",1 year(s),RecruitmentResume screeningInterview Coordination
LeapScholar,Work from home,"₹ 4,00,000 /year",1 year(s),TeachingEnglish Proficiency (Spoken)English Proficiency (Written)Online Teaching
CREO,Bangalore,"₹ 3,90,000 /year",0 year(s),Adobe PhotoshopAdobe IllustratorAdobe InDesignCanvaFigma
IDFC First Bank,"Kolkata, Barasat                                                        (Hybrid)","₹ 3,80,000 - 6,40,000 /year",0 year(s),Lead GenerationSalesField Sales
NJ India Invest Private Limited,Surat,"₹ 3,75,000 - 4,20,000 /year",0 year(s),SalesEffective Communication
Ashiana Housing Limited,Bhiwadi,"₹ 3,60,000 - 4,20,000 /year",1 year(s),Data AnalyticsMS-ExcelData entryPower BIData Analysis
California Burrito,Bangalore,"₹ 3,50,000 - 4,00,000 /year",0 year(s),BrandingUI & UX DesignInterior designGraphic DesignDigital IllustrationMotion Graphics
Medi Assist Healthcare Private Limited,Mumbai,"₹ 3,40,000 - 4,50,000 /year",0 year(s),Medical Terminology
Urban Company,Bangalore,"₹ 3,36,000 - 6,00,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Spoken)
Urban Company Ltd.,Bangalore,"₹ 3,30,000 - 4,00,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Written)
KnowledgeWorks Global Limited,"Chennai, Mumbai","₹ 3,25,000 - 5,50,000 /year",0 year(s),English Proficiency (Spoken)English Proficiency (Written)
RMSI Private Limited,Hyderabad,"₹ 3,20,000 - 4,50,000 /year",1 year(s),SQLMS SQL ServerGISArcGISSSMS
Urban Company,Gurgaon,"₹ 3,10,000 - 4,00,000 /year",0 year(s),Effective Communication
Paisabazaar,Gurgaon,"₹ 3,00,001 - 4,60,008 /year",1 year(s),Investment BankingSales
Mintifi Finserve Private Limited,Mumbai,"₹ 3,00,000 - 6,00,000 /year",1 year(s),MS-OfficeMS-ExcelEnglish Proficiency (Spoken)
Starcrest Services Pvt. Ltd.,"Delhi, Gurgaon, Noida","₹ 3,00,000 - 5,00,000 /year",1 year(s),MS-OfficeRecruitment
Lishanth Enterprises,"Narasaraopet, Anakapalle, Macherla, Prathipadu, Bapatla, Chirala, Gajuwaka Part","₹ 3,00,000 - 4,80,000 /year",0 year(s),Client Relationship Management (CRM)CoordinationSales ManagementClient RelationshipNegotiationsCustomer AcquisitionSales Strategy
Centific,Work from home,"₹ 3,00,000 - 4,70,000 /year",0 year(s),Effective Communication
Scaler,Bangalore,"₹ 3,00,000 - 4,50,000 /year",1 year(s),English Proficiency (Spoken)Hindi Proficiency (Spoken)Effective Communication
Zucol Group Of Companies,Pune,"₹ 3,00,000 - 4,04,000 /year",0 year(s),Creative WritingEnglish Proficiency (Spoken)English Proficiency (Written)Network protocols
Cloudnine Hospital,Bangalore,"₹ 3,00,000 - 4,00,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Written)CanvaPivot TableVLOOKUP
Webvio Technologies,Delhi,"₹ 3,00,000 - 4,00,000 /year",1 year(s),BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics
Calipers Consulting Private Limited,"Secunderabad, Hyderabad                                                        (Hybrid)","₹ 5,04,000 - 7,10,000 /year",0 year(s),MS-OfficeMS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)
Gruhatara Estates,Bangalore,"₹ 6,00,000 - 13,00,000 /year",1 year(s),NegotiationDigital MarketingMarket researchMarketing Strategies
Modtraa Design And Creation Incorporation,Bangalore,"₹ 5,50,000 - 11,00,000 /year",0 year(s),Presentation skillsMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication
CCL Advisors,Mumbai,"₹ 8,00,000 - 10,00,000 /year",1 year(s),Legal ResearchCompany LawLegal DraftingStatutory compliancesLegal WritingContract Management
SREEDHARA ENTERPRISES,Bangalore,"₹ 5,00,000 /year",1 year(s),MS-OfficeAccountingTallyMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)
Godrej Capital,"Ahmedabad, Mehsana, Pune, Gandhidham, Vapi, Ahmednagar, Vadodara, Mumbai, Nashik","₹ 4,00,000 /year",0 year(s),MS-OfficeMS-PowerPointMS-ExcelEffective Communication
Leafoberryy,Mumbai,"₹ 7,00,000 - 9,60,000 /year",1 year(s),LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more
YES Italy Edutech Pvt. Ltd.,"Delhi, Mumbai","₹ 4,00,000 - 10,50,000 /year",1 year(s),Lead GenerationSales ManagementEnglish Proficiency (Spoken)Sales
Internshala,Gurgaon,"₹ 6,60,000 - 7,00,000 /year",1 year(s),NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
Internshala,Gurgaon,"₹ 6,60,000 - 8,00,000 /year",1 year(s),NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
Lishanth Enterprises,Vijayawada,"₹ 10,00,000 - 12,00,000 /year",1 year(s),Client Relationship Management (CRM)Sales ManagementSales SupportCustomer SupportSales Strategy
Belstar MicroFinance Limited,Chennai,"₹ 8,00,000 - 12,00,000 /year",1 year(s),AccountingFinancial planningFinancial Reporting
California Burrito,Bangalore,"₹ 7,00,000 - 8,00,000 /year",1 year(s),Video Editing
NYX,Work from home,"₹ 6,00,000 /year",1 year(s),NegotiationDigital MarketingClient Relationship Management (CRM)Client RelationshipLinkedIn MarketingBusiness DevelopmentGoogle Workspace+5 more
Bhanzu (Formerly Exploring Infinities),Work from home,"₹ 5,80,000 - 6,00,000 /year",1 year(s),Social Media MarketingPresentation skillsEmail MarketingMS-ExcelEnglish Proficiency (Spoken)SalesEffective Communication
Confederation Of Indian Industry (CII),"Coimbatore, Madurai, Visakhapatnam","₹ 5,50,000 - 6,50,000 /year",1 year(s),Effective Communication
SpotOnMedia,Work from home,"₹ 5,06,000 - 6,40,500 /year",1 year(s),MS-OfficeMS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more
WWF India,Hyderabad,"₹ 5,00,000 - 6,50,000 /year",1 year(s),Client InteractionPublic SpeakingSalesMarketingCustomer Acquisition
Bhanzu (Formerly Exploring Infinities),Bangalore,"₹ 4,60,000 - 4,80,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)SalesEffective CommunicationSales Strategy
Bhanzu (Formerly Exploring Infinities),Bangalore,"₹ 4,60,000 /year",0 year(s),English Proficiency (Spoken)English Proficiency (Written)Interpersonal skills
Fitelo,Work from home,"₹ 4,50,000 - 6,00,000 /year",1 year(s),Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Effective Communication
Faff,Bangalore,"₹ 4,20,000 - 6,80,000 /year",0 year(s),Time ManagementProblem SolvingCoordinationAdaptabilityEffective CommunicationConflict Management
Netcore Cloud,"Thane, Mumbai","₹ 4,10,000 - 5,00,000 /year",0 year(s),HTMLLinuxMS SQL Server
SpotOnMedia,Work from home,"₹ 4,02,000 - 5,61,500 /year",1 year(s),MS-OfficeMS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more
NoBroker Technologies Solutions Private Limited,Bangalore,"₹ 4,00,000 - 6,30,000 /year",1 year(s),Cold CallingInside SalesBusiness DevelopmentSales
Imarticus Learning,"Mumbai, Noida","₹ 4,00,000 - 6,00,000 /year",1 year(s),Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more
WWF India,Chennai,"₹ 4,00,000 - 5,00,000 /year",0 year(s),Public SpeakingSalesMarketing
Duroflex Private Limited,Hosur,"₹ 4,00,000 - 5,00,000 /year",0 year(s),Planning
GlobalStep Services Private Limited,Pune,"₹ 4,00,000 - 5,00,000 /year",1 year(s),RecruitmentResume screeningInterview Coordination
LeapScholar,Work from home,"₹ 4,00,000 /year",1 year(s),TeachingEnglish Proficiency (Spoken)English Proficiency (Written)Online Teaching
CREO,Bangalore,"₹ 3,90,000 /year",0 year(s),Adobe PhotoshopAdobe IllustratorAdobe InDesignCanvaFigma
IDFC First Bank,"Kolkata, Barasat                                                        (Hybrid)","₹ 3,80,000 - 6,40,000 /year",0 year(s),Lead GenerationSalesField Sales
NJ India Invest Private Limited,Surat,"₹ 3,75,000 - 4,20,000 /year",0 year(s),SalesEffective Communication
Ashiana Housing Limited,Bhiwadi,"₹ 3,60,000 - 4,20,000 /year",1 year(s),Data AnalyticsMS-ExcelData entryPower BIData Analysis
California Burrito,Bangalore,"₹ 3,50,000 - 4,00,000 /year",0 year(s),BrandingUI & UX DesignInterior designGraphic DesignDigital IllustrationMotion Graphics
Medi Assist Healthcare Private Limited,Mumbai,"₹ 3,40,000 - 4,50,000 /year",0 year(s),Medical Terminology
Urban Company,Bangalore,"₹ 3,36,000 - 6,00,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Spoken)
Urban Company Ltd.,Bangalore,"₹ 3,30,000 - 4,00,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Written)
KnowledgeWorks Global Limited,"Chennai, Mumbai","₹ 3,25,000 - 5,50,000 /year",0 year(s),English Proficiency (Spoken)English Proficiency (Written)
RMSI Private Limited,Hyderabad,"₹ 3,20,000 - 4,50,000 /year",1 year(s),SQLMS SQL ServerGISArcGISSSMS
Urban Company,Gurgaon,"₹ 3,10,000 - 4,00,000 /year",0 year(s),Effective Communication
Paisabazaar,Gurgaon,"₹ 3,00,001 - 4,60,008 /year",1 year(s),Investment BankingSales
Mintifi Finserve Private Limited,Mumbai,"₹ 3,00,000 - 6,00,000 /year",1 year(s),MS-OfficeMS-ExcelEnglish Proficiency (Spoken)
Starcrest Services Pvt. Ltd.,"Delhi, Gurgaon, Noida","₹ 3,00,000 - 5,00,000 /year",1 year(s),MS-OfficeRecruitment
Lishanth Enterprises,"Narasaraopet, Anakapalle, Macherla, Prathipadu, Bapatla, Chirala, Gajuwaka Part","₹ 3,00,000 - 4,80,000 /year",0 year(s),Client Relationship Management (CRM)CoordinationSales ManagementClient RelationshipNegotiationsCustomer AcquisitionSales Strategy
Centific,Work from home,"₹ 3,00,000 - 4,70,000 /year",0 year(s),Effective Communication
Scaler,Bangalore,"₹ 3,00,000 - 4,50,000 /year",1 year(s),English Proficiency (Spoken)Hindi Proficiency (Spoken)Effective Communication
Zucol Group Of Companies,Pune,"₹ 3,00,000 - 4,04,000 /year",0 year(s),Creative WritingEnglish Proficiency (Spoken)English Proficiency (Written)Network protocols
Cloudnine Hospital,Bangalore,"₹ 3,00,000 - 4,00,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Written)CanvaPivot TableVLOOKUP
Webvio Technologies,Delhi,"₹ 3,00,000 - 4,00,000 /year",1 year(s),BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics
Calipers Consulting Private Limited,"Secunderabad, Hyderabad                                                        (Hybrid)","₹ 5,04,000 - 7,10,000 /year",0 year(s),MS-OfficeMS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)
Gruhatara Estates,Bangalore,"₹ 6,00,000 - 13,00,000 /year",1 year(s),NegotiationDigital MarketingMarket researchMarketing Strategies
Modtraa Design And Creation Incorporation,Bangalore,"₹ 5,50,000 - 11,00,000 /year",0 year(s),Presentation skillsMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication
CCL Advisors,Mumbai,"₹ 8,00,000 - 10,00,000 /year",1 year(s),Legal ResearchCompany LawLegal DraftingStatutory compliancesLegal WritingContract Management
SREEDHARA ENTERPRISES,Bangalore,"₹ 5,00,000 /year",1 year(s),MS-OfficeAccountingTallyMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)
Godrej Capital,"Ahmedabad, Mehsana, Pune, Gandhidham, Vapi, Ahmednagar, Vadodara, Mumbai, Nashik","₹ 4,00,000 /year",0 year(s),MS-OfficeMS-PowerPointMS-ExcelEffective Communication
Leafoberryy,Mumbai,"₹ 7,00,000 - 9,60,000 /year",1 year(s),LeadershipTeam ManagementE-commerceData AnalyticsMentorshipB2B SalesEffective Communication+2 more
YES Italy Edutech Pvt. Ltd.,"Delhi, Mumbai","₹ 4,00,000 - 10,50,000 /year",1 year(s),Lead GenerationSales ManagementEnglish Proficiency (Spoken)Sales
Internshala,Gurgaon,"₹ 6,60,000 - 7,00,000 /year",1 year(s),NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
Internshala,Gurgaon,"₹ 6,60,000 - 8,00,000 /year",1 year(s),NegotiationProblem SolvingEnglish Proficiency (Spoken)SalesEffective Communication
Lishanth Enterprises,Vijayawada,"₹ 10,00,000 - 12,00,000 /year",1 year(s),Client Relationship Management (CRM)Sales ManagementSales SupportCustomer SupportSales Strategy
Belstar MicroFinance Limited,Chennai,"₹ 8,00,000 - 12,00,000 /year",1 year(s),AccountingFinancial planningFinancial Reporting
California Burrito,Bangalore,"₹ 7,00,000 - 8,00,000 /year",1 year(s),Video Editing
NYX,Work from home,"₹ 6,00,000 /year",1 year(s),NegotiationDigital MarketingClient Relationship Management (CRM)Client RelationshipLinkedIn MarketingBusiness DevelopmentGoogle Workspace+5 more
Bhanzu (Formerly Exploring Infinities),Work from home,"₹ 5,80,000 - 6,00,000 /year",1 year(s),Social Media MarketingPresentation skillsEmail MarketingMS-ExcelEnglish Proficiency (Spoken)SalesEffective Communication
Confederation Of Indian Industry (CII),"Coimbatore, Madurai, Visakhapatnam","₹ 5,50,000 - 6,50,000 /year",1 year(s),Effective Communication
SpotOnMedia,Work from home,"₹ 5,06,000 - 6,40,500 /year",1 year(s),MS-OfficeMS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more
WWF India,Hyderabad,"₹ 5,00,000 - 6,50,000 /year",1 year(s),Client InteractionPublic SpeakingSalesMarketingCustomer Acquisition
Bhanzu (Formerly Exploring Infinities),Bangalore,"₹ 4,60,000 - 4,80,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)SalesEffective CommunicationSales Strategy
Bhanzu (Formerly Exploring Infinities),Bangalore,"₹ 4,60,000 /year",0 year(s),English Proficiency (Spoken)English Proficiency (Written)Interpersonal skills
Fitelo,Work from home,"₹ 4,50,000 - 6,00,000 /year",1 year(s),Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Effective Communication
Faff,Bangalore,"₹ 4,20,000 - 6,80,000 /year",0 year(s),Time ManagementProblem SolvingCoordinationAdaptabilityEffective CommunicationConflict Management
Netcore Cloud,"Thane, Mumbai","₹ 4,10,000 - 5,00,000 /year",0 year(s),HTMLLinuxMS SQL Server
SpotOnMedia,Work from home,"₹ 4,02,000 - 5,61,500 /year",1 year(s),MS-OfficeMS-ExcelClient Relationship Management (CRM)Client RelationshipEnglish Proficiency (Spoken)English Proficiency (Written)Hindi Proficiency (Spoken)+1 more
NoBroker Technologies Solutions Private Limited,Bangalore,"₹ 4,00,000 - 6,30,000 /year",1 year(s),Cold CallingInside SalesBusiness DevelopmentSales
Imarticus Learning,"Mumbai, Noida","₹ 4,00,000 - 6,00,000 /year",1 year(s),Content WritingMS-WordMS-PowerPointStoryboardingMS-ExcelContent ManagementDesign Thinking+3 more
WWF India,Chennai,"₹ 4,00,000 - 5,00,000 /year",0 year(s),Public SpeakingSalesMarketing
Duroflex Private Limited,Hosur,"₹ 4,00,000 - 5,00,000 /year",0 year(s),Planning
GlobalStep Services Private Limited,Pune,"₹ 4,00,000 - 5,00,000 /year",1 year(s),RecruitmentResume screeningInterview Coordination
LeapScholar,Work from home,"₹ 4,00,000 /year",1 year(s),TeachingEnglish Proficiency (Spoken)English Proficiency (Written)Online Teaching
CREO,Bangalore,"₹ 3,90,000 /year",0 year(s),Adobe PhotoshopAdobe IllustratorAdobe InDesignCanvaFigma
IDFC First Bank,"Kolkata, Barasat                                                        (Hybrid)","₹ 3,80,000 - 6,40,000 /year",0 year(s),Lead GenerationSalesField Sales
NJ India Invest Private Limited,Surat,"₹ 3,75,000 - 4,20,000 /year",0 year(s),SalesEffective Communication
Ashiana Housing Limited,Bhiwadi,"₹ 3,60,000 - 4,20,000 /year",1 year(s),Data AnalyticsMS-ExcelData entryPower BIData Analysis
California Burrito,Bangalore,"₹ 3,50,000 - 4,00,000 /year",0 year(s),BrandingUI & UX DesignInterior designGraphic DesignDigital IllustrationMotion Graphics
Medi Assist Healthcare Private Limited,Mumbai,"₹ 3,40,000 - 4,50,000 /year",0 year(s),Medical Terminology
Urban Company,Bangalore,"₹ 3,36,000 - 6,00,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Spoken)
Urban Company Ltd.,Bangalore,"₹ 3,30,000 - 4,00,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Written)
KnowledgeWorks Global Limited,"Chennai, Mumbai","₹ 3,25,000 - 5,50,000 /year",0 year(s),English Proficiency (Spoken)English Proficiency (Written)
RMSI Private Limited,Hyderabad,"₹ 3,20,000 - 4,50,000 /year",1 year(s),SQLMS SQL ServerGISArcGISSSMS
Urban Company,Gurgaon,"₹ 3,10,000 - 4,00,000 /year",0 year(s),Effective Communication
Paisabazaar,Gurgaon,"₹ 3,00,001 - 4,60,008 /year",1 year(s),Investment BankingSales
Mintifi Finserve Private Limited,Mumbai,"₹ 3,00,000 - 6,00,000 /year",1 year(s),MS-OfficeMS-ExcelEnglish Proficiency (Spoken)
Starcrest Services Pvt. Ltd.,"Delhi, Gurgaon, Noida","₹ 3,00,000 - 5,00,000 /year",1 year(s),MS-OfficeRecruitment
Lishanth Enterprises,"Narasaraopet, Anakapalle, Macherla, Prathipadu, Bapatla, Chirala, Gajuwaka Part","₹ 3,00,000 - 4,80,000 /year",0 year(s),Client Relationship Management (CRM)CoordinationSales ManagementClient RelationshipNegotiationsCustomer AcquisitionSales Strategy
Centific,Work from home,"₹ 3,00,000 - 4,70,000 /year",0 year(s),Effective Communication
Scaler,Bangalore,"₹ 3,00,000 - 4,50,000 /year",1 year(s),English Proficiency (Spoken)Hindi Proficiency (Spoken)Effective Communication
Zucol Group Of Companies,Pune,"₹ 3,00,000 - 4,04,000 /year",0 year(s),Creative WritingEnglish Proficiency (Spoken)English Proficiency (Written)Network protocols
Cloudnine Hospital,Bangalore,"₹ 3,00,000 - 4,00,000 /year",0 year(s),MS-ExcelEnglish Proficiency (Written)CanvaPivot TableVLOOKUP
Webvio Technologies,Delhi,"₹ 3,00,000 - 4,00,000 /year",1 year(s),BloggingSearch Engine Optimization (SEO)Creative WritingProofreadingEnglish Proficiency (Written)Research and Analytics
Calipers Consulting Private Limited,"Secunderabad, Hyderabad                                                        (Hybrid)","₹ 5,04,000 - 7,10,000 /year",0 year(s),MS-OfficeMS-ExcelData entryEnglish Proficiency (Spoken)English Proficiency (Written)
Gruhatara Estates,Bangalore,"₹ 6,00,000 - 13,00,000 /year",1 year(s),NegotiationDigital MarketingMarket researchMarketing Strategies
Modtraa Design And Creation Incorporation,Bangalore,"₹ 5,50,000 - 11,00,000 /year",0 year(s),Presentation skillsMS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)Kannada Proficiency (Spoken)Interpersonal skillsEffective Communication
CCL Advisors,Mumbai,"₹ 8,00,000 - 10,00,000 /year",1 year(s),Legal ResearchCompany LawLegal DraftingStatutory compliancesLegal WritingContract Management
